pokedex_no,name,type1,type2,moves,hp,attack,defense,special-attack,special-defense,speed
1,bulbasaur,grass,poison,"[['razor-wind', 'normal'], ['swords-dance', 'normal'], ['cut', 'normal'], ['bind', 'normal'], ['vine-whip', 'grass'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['growl', 'normal'], ['strength', 'normal'], ['mega-drain', 'grass'], ['leech-seed', 'grass'], ['growth', 'normal'], ['razor-leaf', 'grass'], ['solar-beam', 'grass'], ['poison-powder', 'poison'], ['sleep-powder', 'grass'], ['petal-dance', 'grass'], ['string-shot', 'bug'], ['toxic', 'poison'], ['rage', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['defense-curl', 'normal'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['bide', 'normal'], ['sludge', 'poison'], ['skull-bash', 'normal'], ['amnesia', 'psychic'], ['flash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['sludge-bomb', 'poison'], ['mud-slap', 'ground'], ['outrage', 'dragon'], ['giga-drain', 'grass'], ['endure', 'normal'], ['charm', 'fairy'], ['false-swipe', 'normal'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['sweet-scent', 'normal'], ['synthesis', 'grass'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['rock-smash', 'fighting'], ['facade', 'normal'], ['nature-power', 'normal'], ['helping-hand', 'normal'], ['ingrain', 'grass'], ['knock-off', 'dark'], ['secret-power', 'normal'], ['weather-ball', 'normal'], ['grass-whistle', 'grass'], ['bullet-seed', 'grass'], ['magical-leaf', 'grass'], ['natural-gift', 'normal'], ['worry-seed', 'grass'], ['seed-bomb', 'grass'], ['energy-ball', 'grass'], ['leaf-storm', 'grass'], ['power-whip', 'grass'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['venoshock', 'poison'], ['acid-spray', 'poison'], ['round', 'normal'], ['echoed-voice', 'normal'], ['grass-pledge', 'grass'], ['work-up', 'normal'], ['grassy-terrain', 'grass'], ['confide', 'normal'], ['grassy-glide', 'grass'], ['tera-blast', 'normal'], ['trailblaze', 'grass']]",45,49,49,65,65,45
2,ivysaur,grass,poison,"[['swords-dance', 'normal'], ['cut', 'normal'], ['bind', 'normal'], ['vine-whip', 'grass'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['growl', 'normal'], ['roar', 'normal'], ['strength', 'normal'], ['mega-drain', 'grass'], ['leech-seed', 'grass'], ['growth', 'normal'], ['razor-leaf', 'grass'], ['solar-beam', 'grass'], ['poison-powder', 'poison'], ['sleep-powder', 'grass'], ['petal-dance', 'grass'], ['string-shot', 'bug'], ['toxic', 'poison'], ['rage', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['defense-curl', 'normal'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['bide', 'normal'], ['amnesia', 'psychic'], ['flash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['sludge-bomb', 'poison'], ['mud-slap', 'ground'], ['outrage', 'dragon'], ['giga-drain', 'grass'], ['endure', 'normal'], ['charm', 'fairy'], ['false-swipe', 'normal'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['sweet-scent', 'normal'], ['synthesis', 'grass'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['rock-smash', 'fighting'], ['facade', 'normal'], ['nature-power', 'normal'], ['helping-hand', 'normal'], ['ingrain', 'grass'], ['knock-off', 'dark'], ['secret-power', 'normal'], ['weather-ball', 'normal'], ['bullet-seed', 'grass'], ['magical-leaf', 'grass'], ['natural-gift', 'normal'], ['worry-seed', 'grass'], ['seed-bomb', 'grass'], ['energy-ball', 'grass'], ['leaf-storm', 'grass'], ['power-whip', 'grass'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['venoshock', 'poison'], ['acid-spray', 'poison'], ['round', 'normal'], ['echoed-voice', 'normal'], ['grass-pledge', 'grass'], ['work-up', 'normal'], ['grassy-terrain', 'grass'], ['confide', 'normal'], ['grassy-glide', 'grass'], ['tera-blast', 'normal'], ['trailblaze', 'grass']]",60,62,63,80,80,60
3,venusaur,grass,poison,"[['swords-dance', 'normal'], ['cut', 'normal'], ['bind', 'normal'], ['vine-whip', 'grass'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['growl', 'normal'], ['roar', 'normal'], ['hyper-beam', 'normal'], ['strength', 'normal'], ['mega-drain', 'grass'], ['leech-seed', 'grass'], ['growth', 'normal'], ['razor-leaf', 'grass'], ['solar-beam', 'grass'], ['poison-powder', 'poison'], ['sleep-powder', 'grass'], ['petal-dance', 'grass'], ['string-shot', 'bug'], ['earthquake', 'ground'], ['toxic', 'poison'], ['rage', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['defense-curl', 'normal'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['bide', 'normal'], ['amnesia', 'psychic'], ['flash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['scary-face', 'normal'], ['sludge-bomb', 'poison'], ['mud-slap', 'ground'], ['outrage', 'dragon'], ['giga-drain', 'grass'], ['endure', 'normal'], ['charm', 'fairy'], ['false-swipe', 'normal'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['sweet-scent', 'normal'], ['synthesis', 'grass'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['rock-smash', 'fighting'], ['facade', 'normal'], ['nature-power', 'normal'], ['helping-hand', 'normal'], ['ingrain', 'grass'], ['knock-off', 'dark'], ['secret-power', 'normal'], ['weather-ball', 'normal'], ['bullet-seed', 'grass'], ['block', 'normal'], ['frenzy-plant', 'grass'], ['magical-leaf', 'grass'], ['natural-gift', 'normal'], ['worry-seed', 'grass'], ['poison-jab', 'poison'], ['seed-bomb', 'grass'], ['energy-ball', 'grass'], ['earth-power', 'ground'], ['giga-impact', 'normal'], ['rock-climb', 'normal'], ['leaf-storm', 'grass'], ['power-whip', 'grass'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['venoshock', 'poison'], ['acid-spray', 'poison'], ['round', 'normal'], ['echoed-voice', 'normal'], ['grass-pledge', 'grass'], ['bulldoze', 'ground'], ['work-up', 'normal'], ['petal-blizzard', 'grass'], ['grassy-terrain', 'grass'], ['confide', 'normal'], ['stomping-tantrum', 'ground'], ['grassy-glide', 'grass'], ['terrain-pulse', 'normal'], ['tera-blast', 'normal'], ['trailblaze', 'grass']]",80,82,83,100,100,80
4,charmander,fire,,"[['mega-punch', 'normal'], ['fire-punch', 'fire'], ['thunder-punch', 'electric'], ['scratch', 'normal'], ['swords-dance', 'normal'], ['cut', 'normal'], ['wing-attack', 'flying'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['leer', 'normal'], ['bite', 'dark'], ['growl', 'normal'], ['roar', 'normal'], ['ember', 'fire'], ['flamethrower', 'fire'], ['submission', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['strength', 'normal'], ['dragon-rage', 'dragon'], ['fire-spin', 'fire'], ['dig', 'ground'], ['toxic', 'poison'], ['rage', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['smokescreen', 'normal'], ['defense-curl', 'normal'], ['reflect', 'psychic'], ['bide', 'normal'], ['fire-blast', 'fire'], ['swift', 'normal'], ['skull-bash', 'normal'], ['fury-swipes', 'normal'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['slash', 'normal'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['scary-face', 'normal'], ['belly-drum', 'normal'], ['mud-slap', 'ground'], ['outrage', 'dragon'], ['endure', 'normal'], ['false-swipe', 'normal'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dynamic-punch', 'fighting'], ['dragon-breath', 'dragon'], ['iron-tail', 'steel'], ['metal-claw', 'steel'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['crunch', 'dark'], ['ancient-power', 'rock'], ['rock-smash', 'fighting'], ['beat-up', 'dark'], ['heat-wave', 'fire'], ['will-o-wisp', 'fire'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['helping-hand', 'normal'], ['brick-break', 'fighting'], ['secret-power', 'normal'], ['weather-ball', 'normal'], ['air-cutter', 'flying'], ['overheat', 'fire'], ['rock-tomb', 'rock'], ['aerial-ace', 'flying'], ['dragon-claw', 'dragon'], ['dragon-dance', 'dragon'], ['natural-gift', 'normal'], ['fling', 'dark'], ['flare-blitz', 'fire'], ['dragon-pulse', 'dragon'], ['dragon-rush', 'dragon'], ['focus-blast', 'fighting'], ['shadow-claw', 'ghost'], ['fire-fang', 'fire'], ['captivate', 'normal'], ['hone-claws', 'dark'], ['flame-burst', 'fire'], ['flame-charge', 'fire'], ['round', 'normal'], ['echoed-voice', 'normal'], ['incinerate', 'fire'], ['acrobatics', 'flying'], ['inferno', 'fire'], ['fire-pledge', 'fire'], ['dragon-tail', 'dragon'], ['work-up', 'normal'], ['confide', 'normal'], ['power-up-punch', 'fighting'], ['breaking-swipe', 'dragon'], ['tera-blast', 'normal'], ['temper-flare', 'fire']]",39,52,43,60,50,65
5,charmeleon,fire,,"[['mega-punch', 'normal'], ['fire-punch', 'fire'], ['thunder-punch', 'electric'], ['scratch', 'normal'], ['swords-dance', 'normal'], ['cut', 'normal'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['leer', 'normal'], ['bite', 'dark'], ['growl', 'normal'], ['roar', 'normal'], ['ember', 'fire'], ['flamethrower', 'fire'], ['submission', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['strength', 'normal'], ['dragon-rage', 'dragon'], ['fire-spin', 'fire'], ['dig', 'ground'], ['toxic', 'poison'], ['rage', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['smokescreen', 'normal'], ['defense-curl', 'normal'], ['reflect', 'psychic'], ['bide', 'normal'], ['fire-blast', 'fire'], ['swift', 'normal'], ['skull-bash', 'normal'], ['fury-swipes', 'normal'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['slash', 'normal'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['scary-face', 'normal'], ['belly-drum', 'normal'], ['mud-slap', 'ground'], ['outrage', 'dragon'], ['endure', 'normal'], ['false-swipe', 'normal'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dynamic-punch', 'fighting'], ['dragon-breath', 'dragon'], ['iron-tail', 'steel'], ['metal-claw', 'steel'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['crunch', 'dark'], ['ancient-power', 'rock'], ['rock-smash', 'fighting'], ['beat-up', 'dark'], ['heat-wave', 'fire'], ['will-o-wisp', 'fire'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['helping-hand', 'normal'], ['brick-break', 'fighting'], ['secret-power', 'normal'], ['weather-ball', 'normal'], ['overheat', 'fire'], ['rock-tomb', 'rock'], ['aerial-ace', 'flying'], ['dragon-claw', 'dragon'], ['dragon-dance', 'dragon'], ['natural-gift', 'normal'], ['fling', 'dark'], ['flare-blitz', 'fire'], ['dragon-pulse', 'dragon'], ['dragon-rush', 'dragon'], ['focus-blast', 'fighting'], ['shadow-claw', 'ghost'], ['fire-fang', 'fire'], ['captivate', 'normal'], ['hone-claws', 'dark'], ['flame-burst', 'fire'], ['flame-charge', 'fire'], ['round', 'normal'], ['echoed-voice', 'normal'], ['incinerate', 'fire'], ['acrobatics', 'flying'], ['inferno', 'fire'], ['fire-pledge', 'fire'], ['dragon-tail', 'dragon'], ['work-up', 'normal'], ['confide', 'normal'], ['power-up-punch', 'fighting'], ['breaking-swipe', 'dragon'], ['tera-blast', 'normal'], ['temper-flare', 'fire']]",58,64,58,80,65,80
6,charizard,fire,flying,"[['mega-punch', 'normal'], ['fire-punch', 'fire'], ['thunder-punch', 'electric'], ['scratch', 'normal'], ['swords-dance', 'normal'], ['cut', 'normal'], ['wing-attack', 'flying'], ['fly', 'flying'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['leer', 'normal'], ['bite', 'dark'], ['growl', 'normal'], ['roar', 'normal'], ['ember', 'fire'], ['flamethrower', 'fire'], ['hyper-beam', 'normal'], ['submission', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['strength', 'normal'], ['solar-beam', 'grass'], ['dragon-rage', 'dragon'], ['fire-spin', 'fire'], ['earthquake', 'ground'], ['fissure', 'ground'], ['dig', 'ground'], ['toxic', 'poison'], ['rage', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['smokescreen', 'normal'], ['defense-curl', 'normal'], ['reflect', 'psychic'], ['bide', 'normal'], ['fire-blast', 'fire'], ['swift', 'normal'], ['skull-bash', 'normal'], ['fury-swipes', 'normal'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['slash', 'normal'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['scary-face', 'normal'], ['belly-drum', 'normal'], ['mud-slap', 'ground'], ['outrage', 'dragon'], ['sandstorm', 'rock'], ['endure', 'normal'], ['false-swipe', 'normal'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['steel-wing', 'steel'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dynamic-punch', 'fighting'], ['dragon-breath', 'dragon'], ['iron-tail', 'steel'], ['metal-claw', 'steel'], ['hidden-power', 'normal'], ['twister', 'dragon'], ['sunny-day', 'fire'], ['crunch', 'dark'], ['ancient-power', 'rock'], ['rock-smash', 'fighting'], ['beat-up', 'dark'], ['heat-wave', 'fire'], ['will-o-wisp', 'fire'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['helping-hand', 'normal'], ['brick-break', 'fighting'], ['secret-power', 'normal'], ['blaze-kick', 'fire'], ['blast-burn', 'fire'], ['weather-ball', 'normal'], ['air-cutter', 'flying'], ['overheat', 'fire'], ['rock-tomb', 'rock'], ['aerial-ace', 'flying'], ['dragon-claw', 'dragon'], ['dragon-dance', 'dragon'], ['roost', 'flying'], ['natural-gift', 'normal'], ['tailwind', 'flying'], ['fling', 'dark'], ['flare-blitz', 'fire'], ['air-slash', 'flying'], ['dragon-pulse', 'dragon'], ['dragon-rush', 'dragon'], ['focus-blast', 'fighting'], ['giga-impact', 'normal'], ['shadow-claw', 'ghost'], ['fire-fang', 'fire'], ['defog', 'flying'], ['captivate', 'normal'], ['ominous-wind', 'ghost'], ['hone-claws', 'dark'], ['flame-burst', 'fire'], ['flame-charge', 'fire'], ['round', 'normal'], ['echoed-voice', 'normal'], ['sky-drop', 'flying'], ['incinerate', 'fire'], ['acrobatics', 'flying'], ['inferno', 'fire'], ['fire-pledge', 'fire'], ['bulldoze', 'ground'], ['dragon-tail', 'dragon'], ['work-up', 'normal'], ['heat-crash', 'fire'], ['hurricane', 'flying'], ['confide', 'normal'], ['mystical-fire', 'fire'], ['power-up-punch', 'fighting'], ['brutal-swing', 'dark'], ['breaking-swipe', 'dragon'], ['scale-shot', 'dragon'], ['dual-wingbeat', 'flying'], ['scorching-sands', 'ground'], ['tera-blast', 'normal'], ['dragon-cheer', 'dragon'], ['temper-flare', 'fire']]",78,84,78,109,85,100
7,squirtle,water,,"[['mega-punch', 'normal'], ['ice-punch', 'ice'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['tail-whip', 'normal'], ['bite', 'dark'], ['mist', 'ice'], ['water-gun', 'water'], ['hydro-pump', 'water'], ['surf', 'water'], ['ice-beam', 'ice'], ['blizzard', 'ice'], ['bubble-beam', 'water'], ['submission', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['strength', 'normal'], ['dig', 'ground'], ['toxic', 'poison'], ['confusion', 'psychic'], ['rage', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['withdraw', 'water'], ['defense-curl', 'normal'], ['haze', 'ice'], ['reflect', 'psychic'], ['bide', 'normal'], ['waterfall', 'water'], ['skull-bash', 'normal'], ['bubble', 'water'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['flail', 'normal'], ['protect', 'normal'], ['mud-slap', 'ground'], ['foresight', 'normal'], ['icy-wind', 'ice'], ['outrage', 'dragon'], ['endure', 'normal'], ['rollout', 'rock'], ['false-swipe', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dynamic-punch', 'fighting'], ['rapid-spin', 'normal'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['mirror-coat', 'psychic'], ['rock-smash', 'fighting'], ['whirlpool', 'water'], ['fake-out', 'normal'], ['hail', 'ice'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['follow-me', 'normal'], ['helping-hand', 'normal'], ['brick-break', 'fighting'], ['yawn', 'normal'], ['refresh', 'normal'], ['secret-power', 'normal'], ['dive', 'water'], ['mud-sport', 'ground'], ['weather-ball', 'normal'], ['rock-tomb', 'rock'], ['water-spout', 'water'], ['muddy-water', 'water'], ['iron-defense', 'steel'], ['mud-shot', 'ground'], ['water-pulse', 'water'], ['gyro-ball', 'steel'], ['brine', 'water'], ['natural-gift', 'normal'], ['fling', 'dark'], ['aqua-ring', 'water'], ['aura-sphere', 'fighting'], ['aqua-tail', 'water'], ['dragon-pulse', 'dragon'], ['zen-headbutt', 'psychic'], ['captivate', 'normal'], ['aqua-jet', 'water'], ['round', 'normal'], ['scald', 'water'], ['shell-smash', 'normal'], ['water-pledge', 'water'], ['work-up', 'normal'], ['confide', 'normal'], ['power-up-punch', 'fighting'], ['liquidation', 'water'], ['life-dew', 'water'], ['flip-turn', 'water'], ['wave-crash', 'water'], ['tera-blast', 'normal'], ['ice-spinner', 'ice'], ['chilling-water', 'water']]",44,48,65,50,64,43
8,wartortle,water,,"[['mega-punch', 'normal'], ['ice-punch', 'ice'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['tail-whip', 'normal'], ['bite', 'dark'], ['mist', 'ice'], ['water-gun', 'water'], ['hydro-pump', 'water'], ['surf', 'water'], ['ice-beam', 'ice'], ['blizzard', 'ice'], ['bubble-beam', 'water'], ['submission', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['strength', 'normal'], ['dig', 'ground'], ['toxic', 'poison'], ['rage', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['withdraw', 'water'], ['defense-curl', 'normal'], ['haze', 'ice'], ['reflect', 'psychic'], ['bide', 'normal'], ['waterfall', 'water'], ['skull-bash', 'normal'], ['bubble', 'water'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['flail', 'normal'], ['protect', 'normal'], ['mud-slap', 'ground'], ['icy-wind', 'ice'], ['outrage', 'dragon'], ['endure', 'normal'], ['rollout', 'rock'], ['false-swipe', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dynamic-punch', 'fighting'], ['rapid-spin', 'normal'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['mirror-coat', 'psychic'], ['rock-smash', 'fighting'], ['whirlpool', 'water'], ['fake-out', 'normal'], ['hail', 'ice'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['helping-hand', 'normal'], ['brick-break', 'fighting'], ['yawn', 'normal'], ['secret-power', 'normal'], ['dive', 'water'], ['weather-ball', 'normal'], ['rock-tomb', 'rock'], ['water-spout', 'water'], ['muddy-water', 'water'], ['iron-defense', 'steel'], ['mud-shot', 'ground'], ['water-pulse', 'water'], ['gyro-ball', 'steel'], ['brine', 'water'], ['natural-gift', 'normal'], ['fling', 'dark'], ['aqua-ring', 'water'], ['aura-sphere', 'fighting'], ['aqua-tail', 'water'], ['dragon-pulse', 'dragon'], ['zen-headbutt', 'psychic'], ['captivate', 'normal'], ['aqua-jet', 'water'], ['round', 'normal'], ['scald', 'water'], ['shell-smash', 'normal'], ['water-pledge', 'water'], ['work-up', 'normal'], ['confide', 'normal'], ['power-up-punch', 'fighting'], ['liquidation', 'water'], ['life-dew', 'water'], ['flip-turn', 'water'], ['wave-crash', 'water'], ['tera-blast', 'normal'], ['ice-spinner', 'ice'], ['chilling-water', 'water']]",59,63,80,65,80,58
9,blastoise,water,,"[['mega-punch', 'normal'], ['ice-punch', 'ice'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['tail-whip', 'normal'], ['bite', 'dark'], ['roar', 'normal'], ['mist', 'ice'], ['water-gun', 'water'], ['hydro-pump', 'water'], ['surf', 'water'], ['ice-beam', 'ice'], ['blizzard', 'ice'], ['bubble-beam', 'water'], ['hyper-beam', 'normal'], ['submission', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['strength', 'normal'], ['earthquake', 'ground'], ['fissure', 'ground'], ['dig', 'ground'], ['toxic', 'poison'], ['rage', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['withdraw', 'water'], ['defense-curl', 'normal'], ['haze', 'ice'], ['reflect', 'psychic'], ['bide', 'normal'], ['waterfall', 'water'], ['skull-bash', 'normal'], ['bubble', 'water'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['flail', 'normal'], ['protect', 'normal'], ['scary-face', 'normal'], ['mud-slap', 'ground'], ['icy-wind', 'ice'], ['outrage', 'dragon'], ['endure', 'normal'], ['rollout', 'rock'], ['false-swipe', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dynamic-punch', 'fighting'], ['rapid-spin', 'normal'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['crunch', 'dark'], ['mirror-coat', 'psychic'], ['rock-smash', 'fighting'], ['whirlpool', 'water'], ['fake-out', 'normal'], ['hail', 'ice'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['helping-hand', 'normal'], ['brick-break', 'fighting'], ['yawn', 'normal'], ['secret-power', 'normal'], ['dive', 'water'], ['hydro-cannon', 'water'], ['weather-ball', 'normal'], ['rock-tomb', 'rock'], ['water-spout', 'water'], ['signal-beam', 'bug'], ['muddy-water', 'water'], ['iron-defense', 'steel'], ['mud-shot', 'ground'], ['water-pulse', 'water'], ['gyro-ball', 'steel'], ['brine', 'water'], ['natural-gift', 'normal'], ['fling', 'dark'], ['aqua-ring', 'water'], ['aura-sphere', 'fighting'], ['dark-pulse', 'dark'], ['aqua-tail', 'water'], ['dragon-pulse', 'dragon'], ['focus-blast', 'fighting'], ['giga-impact', 'normal'], ['avalanche', 'ice'], ['zen-headbutt', 'psychic'], ['flash-cannon', 'steel'], ['rock-climb', 'normal'], ['captivate', 'normal'], ['aqua-jet', 'water'], ['smack-down', 'rock'], ['round', 'normal'], ['scald', 'water'], ['shell-smash', 'normal'], ['water-pledge', 'water'], ['bulldoze', 'ground'], ['dragon-tail', 'dragon'], ['work-up', 'normal'], ['confide', 'normal'], ['power-up-punch', 'fighting'], ['liquidation', 'water'], ['body-press', 'fighting'], ['life-dew', 'water'], ['terrain-pulse', 'normal'], ['flip-turn', 'water'], ['wave-crash', 'water'], ['tera-blast', 'normal'], ['ice-spinner', 'ice'], ['chilling-water', 'water']]",79,83,100,85,105,78
10,caterpie,bug,,"[['tackle', 'normal'], ['string-shot', 'bug'], ['snore', 'normal'], ['bug-bite', 'bug'], ['electroweb', 'electric']]",45,30,35,20,20,45
